Emissor;CNPJ Emissor;Codigo Produto;Descricao Produto;Unidade;Quantidade;Valor Unitario;Valor Total;data_emissao_nota
DENVER INDUSTRIA E COMERCIO DE PRODUTOS;42.295.564/2249-97;685-447;ADESIVO PVA DAS 403 BAR50KG;KG;300;11,5;3450;03/06/2025
DENVER INDUSTRIA E COMERCIO DE PRODUTOS;42.295.564/2249-97;685-447;ADESIVO PVA DAS 403 BAR50KG;KG;300;11,5;3450;22/07/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;658-89;BORNE DELCO REMY;UN;30;11,51;345.3;17/06/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;658-89;BORNE DELCO REMY;UN;70;11,51;805.7;25/06/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;658-89;BORNE DELCO REMY;UN;100;11,51;1151;14/07/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;658-89;BORNE DELCO REMY;UN;50;11,51;575.5;20/05/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;35-567;BORRACHA DE ISOLAÇÃO ISKRA PEQ.;PC;300;0,85;255;14/07/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;707-75;BORRACHA DE ISOLAÇÃO ISKRA PEQ. C/ RED;PC;500;0,85;425;20/05/2025
CLAMOL INDUSTRIA E COMERCIO DE MOLDES LTDA.;64.832.634/6578-59;515-286;BORRACHA ISOLAÇÃO 28/29MT;PC;500;0,75;375;26/06/2025
CLAMOL INDUSTRIA E COMERCIO DE MOLDES LTDA.;64.832.634/6578-59;435-209;BORRACHA ISOLAÇÃO 39MT;PC;500;0,31;155;26/06/2025
CLAMOL INDUSTRIA E COMERCIO DE MOLDES LTDA.;64.832.634/6578-59;376-576;BORRACHA ISOLAÇÃO ESCORT 14;PC;1000;0,78;780;26/06/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;12-217;BORRACHA ISOLAÇÃO JF;PC;2500;0,51;1275;14/05/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;12-217;BORRACHA ISOLAÇÃO JF;PC;500;0,51;255;27/06/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;12-217;BORRACHA ISOLAÇÃO JF;PC;1500;0,51;765;14/07/2025
CLAMOL INDUSTRIA E COMERCIO DE MOLDES LTDA.;64.832.634/6578-59;296-40;BORRACHA ISOLAÇÃO JF 2 FUROS;PC;500;0,29;145;26/06/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;299-235;BORRACHA ISOLAÇÃO MIT. S10 PEQ;PC;300;0,75;225;26/05/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;947-949;BORRACHA ISOLAÇÃO MIT. S-10 PEQ.;PC;300;0,75;225;08/05/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;18-737;BORRACHA ISOLAÇÃO MIT. VOLVO;PC;300;0,75;225;08/05/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;18-737;BORRACHA ISOLAÇÃO MIT. VOLVO;PC;500;0,75;375;20/05/2025
