Descricao Produto;Peso_Bruto;Unidade_Medida
A-005-24V - HD384C-4 ;;UN
A-131-12V - HD106A-4 ;;UN
A-149-12V - HD311K ;;UN
A-162-12V - HD287A-4 - ;;UN
A-164-12V - HD287C -;;UN
A-165-24V - HD261A-4 ;;UN
A-171-12V - HD296A;;UN
A-187-24V - HD333A-4 ;;UN
A-192-24V - HD246E-4 ;;UN
A-235-24V - HD384B-4;;UN
A-239-12V - HD261D ;;UN
A-257-24V - HD332C-4 - AXOR;;UN
ADESIVO PVA DAS 403 BAR50KG;;KG
ASA 952 A - 18 litros;18;LT
ASA 952 I - 18 litros;18;LT
ASA 952 L - 18 litros;18;LT
BORNE DELCO REMY;;UN
BORRACHA DE ISOLAÇÃO ISKRA PEQ.;;UN
BORRACHA DE ISOLAÇÃO ISKRA PEQ. C/ RED;;UN
BORRACHA ISOLAÇÃO 28/29MT;;UN
BORRACHA ISOLAÇÃO 39MT;;UN
BORRACHA ISOLAÇÃO ESCORT 14;;UN
BORRACHA ISOLAÇAO JF;;UN
BORRACHA ISOLAÇÃO JF 2 FUROS;;UN
BORRACHA ISOLAÇÃO MIT. S10 PEQ;;UN
BORRACHA ISOLAÇÃO MIT. S-10 PEQ.;;UN
BORRACHA ISOLAÇÃO MIT. VOLVO;;UN
BORRACHA ISOLAÇÃO SP LUCAS ;;UN
BORRACHA ISOLAÇÃO SPRINTER LUCAS;;UN
BORRACHA PASSAT;;UN
BORRACHA SP LUCAS ;;UN
BUCHA EXTERNA ISOLAÇÃO BOBINA 29MT;;UN
BUCHA INTERNA ISOLAÇÃO BOBINA 29MT;;UN
CADARÇO ALGODÃO 19MM CRU COM LISTRA PRETA - 50 metros;;MT
CADARÇO ALGODÃO/POLIESTER 19MM - 50 metros;;MT
CARCAÇA DE FERRO SCANIA BOSCH SERIE 5 ;;UN
CARCAÇA M100 12V S/ SAPATA;;UN
CARCAÇAS PERKINS S/ SAPATA;;UN
CORDOALHA DE COBRE TORCIDA 3,1MM;;MT
CORDOALHA DE COBRE TORCIDA 4,0MM;;MT
CORDOALHA DE COBRE TORCIDA 4,2 MM;;MT
CORDOALHA DE COBRE TORCIDA 5,0 MM;;MT
CORDOALHA DE COBRE TORCIDA 6,0 MM;;MT
CORDOALHA DE COBRE TORCIDA 6,0MM;;MT
CORDOALHA RED. NUA EXTRA FLEXIVEL 8,0 MM;;MT
D 153 - (12V) ESCOVA DE METALGRAFITE.;;UN
D 153 A - (24V)  ESCOVA DE METALGRAFITE.;;UN
EMBALAGEM ALTERNADOR S/ IMPRESSÃO MCM;;UN
EMBALAGEM JF;;UN
EMBALAGEM JF NOVA;;UN
EMBALAGEM PASSAT;;UN
EMBALAGEM PERKINS;;UN
EMBALAGEM PERKINS NOVA;;UN
ESC PASSAT ESCOVA PASSAT - 2.70.0000;;UN
ESC PKS ESC PERKINS - 213/13 POSITIVA PE;;UN
ESCOVA 29MT 12V (D-153 12V);;UN
ESCOVA 29MT 24V (D-153 24V);;UN
ESCOVA 29MT 24V D-153 24V;;UN
ESCOVA 32C 24V (FJS-002 24V);;UN
ESCOVA 38MT 12V ;;UN
ESCOVA 38MT 24V;;UN
ESCOVA 39MT 12V (D 173);;UN
ESCOVA BX-220;;UN
ESCOVA DENSO MÉDIA (FTS 138);;UN
ESCOVA DENSO MÉDIA (FTS 140);;UN
ESCOVA DENSO MÉDIA FTS 140;;UN
ESCOVA ISKRA 12V (IKS 96 12V PE);;UN
ESCOVA ISKRA 12V IKS 96 12V PE;;UN
ESCOVA ISKRA 24V (IKS 96 24V PE );;UN
ESCOVA ISKRA 24V IKS 96 24V PE;;UN
ESCOVA JX 42;;UN
ESCOVA MINI ISKRA (IKS 952);;UN
ESCOVA MINI ISKRA IKS 952;;UN
